model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion__gbq_qr__sarix,3,1,29.4,0.532,44.2,0.56,0.63,0.977,0.006233303650934996,0.007123775601068566,0.015138023152270703,0.03561887800534283,0.06322350845948353,0.10596616206589493,0.14781834372217276,0.20658949243098843,0.26447016918967053,0.3232413178984862,0.40338379341050756,0.4764024933214604,0.5494211932324132,0.616206589492431,0.6731967943009796,0.7221727515583259,0.7782724844167409,0.8236865538735529,0.8708815672306323,0.9109528049866429,0.9474621549421193,0.9804096170970614,0.993766696349065
UMass-gbq_qr,3,1,30,0.542,45.1,0.571,0.554,0.959,0.007123775601068566,0.01157613535173642,0.020480854853072127,0.04452359750667854,0.10240427426536064,0.15672306322350846,0.23597506678539626,0.2965271593944791,0.3579697239536955,0.42030276046304543,0.47996438112199463,0.5333926981300089,0.5921638468388246,0.649154051647373,0.692787177203918,0.742653606411398,0.7898486197684773,0.8334817453250223,0.8735529830810329,0.9109528049866429,0.9367764915405165,0.9670525378450578,0.9910952804986642
UMass-flusion,3,1,30.1,0.545,46.3,0.586,0.596,0.98,0.006233303650934996,0.01068566340160285,0.027604630454140695,0.0578806767586821,0.09349955476402494,0.1433659839715049,0.19768477292965272,0.25111308993766696,0.3285841495992876,0.39269813000890474,0.45503116651825465,0.5271593944790739,0.5877114870881567,0.6464826357969724,0.699020480854853,0.7497773820124666,0.7934105075690115,0.8397150489759573,0.8797862867319679,0.9234194122885129,0.9679430097951914,0.9866429207479964,0.9973285841495992
UMass-flusion__gbq_qr__gbq_qr_no_level,3,1,30.8,0.558,47.2,0.597,0.566,0.977,0.007123775601068566,0.016028495102404273,0.032056990204808546,0.0730186999109528,0.12733748886910062,0.1923419412288513,0.25200356188780054,0.333926981300089,0.3935886019590383,0.46126447016918964,0.5342831700801425,0.5823686553873553,0.6295636687444346,0.692787177203918,0.7328584149599288,0.7747105966162066,0.8183437221727515,0.8548530721282279,0.8949243098842387,0.9296527159394479,0.9608192341941229,0.9893143365983972,0.9982190560997328
UMass-flusion__gbq_qr__sarix,2,1,24.9,0.566,37.9,0.609,0.608,0.974,0.009369676320272573,0.01192504258943782,0.014480408858603067,0.051959114139693355,0.09284497444633731,0.13969335604770017,0.1848381601362862,0.23764906303236796,0.29557069846678025,0.35604770017035775,0.424190800681431,0.4846678023850085,0.540885860306644,0.6124361158432708,0.682282793867121,0.74190800681431,0.793015332197615,0.833901192504259,0.8671209540034072,0.9054514480408858,0.9505962521294719,0.9812606473594548,0.9940374787052811
UMass-gbq_qr,2,1,25,0.566,38.7,0.623,0.542,0.951,0.008517887563884156,0.01788756388415673,0.03151618398637138,0.06643952299829642,0.11158432708688246,0.1797274275979557,0.2555366269165247,0.3373083475298126,0.39267461669505965,0.46337308347529815,0.5119250425894378,0.5604770017035775,0.6022146507666098,0.6669505962521295,0.7137989778534923,0.7640545144804088,0.797274275979557,0.838160136286201,0.8816013628620102,0.9105621805792163,0.9361158432708688,0.9633730834752982,0.9923339011925043
UMass-flusion,2,1,25.3,0.574,38.9,0.627,0.586,0.98,0.008517887563884156,0.012776831345826235,0.028960817717206135,0.07155025553662692,0.11669505962521294,0.16269165247018738,0.21550255536626917,0.2879045996592845,0.3339011925042589,0.39437819420783643,0.45741056218057924,0.5264054514480409,0.580068143100511,0.6490630323679727,0.7035775127768313,0.7597955706984668,0.8015332197614992,0.8313458262350937,0.8679727427597955,0.9148211243611585,0.9565587734241908,0.9889267461669506,0.995741056218058
UMass-flusion__gbq_qr__gbq_qr_no_level,2,1,25.3,0.575,39.3,0.632,0.546,0.964,0.008517887563884156,0.02385008517887564,0.046848381601362864,0.08943781942078365,0.1303236797274276,0.20272572402044292,0.26405451448040884,0.348381601362862,0.40630323679727426,0.47103918228279384,0.524701873935264,0.5868824531516184,0.6388415672913118,0.6882453151618398,0.7367972742759795,0.7708688245315162,0.8100511073253833,0.8517887563884157,0.8884156729131175,0.9165247018739353,0.948892674616695,0.9838160136286201,0.9982964224872232
UMass-gbq_qr,1,1,18.8,0.601,28.9,0.669,0.539,0.955,0.010655737704918032,0.019672131147540985,0.027049180327868853,0.06229508196721312,0.12049180327868853,0.18524590163934426,0.2573770491803279,0.33934426229508197,0.3975409836065574,0.4532786885245902,0.5073770491803279,0.5565573770491803,0.6139344262295082,0.6704918032786885,0.7180327868852459,0.7614754098360655,0.7959016393442623,0.8360655737704918,0.8811475409836066,0.9139344262295082,0.9385245901639344,0.969672131147541,0.9885245901639345
UMass-flusion__gbq_qr__gbq_qr_no_level,1,1,18.9,0.605,29.2,0.674,0.554,0.954,0.012295081967213115,0.02459016393442623,0.04016393442622951,0.08360655737704918,0.13934426229508196,0.20081967213114754,0.2614754098360656,0.3180327868852459,0.39344262295081966,0.4557377049180328,0.5163934426229508,0.5672131147540984,0.6245901639344262,0.6795081967213115,0.7204918032786886,0.7622950819672131,0.8155737704918032,0.8557377049180328,0.8836065573770492,0.9172131147540984,0.9475409836065574,0.9737704918032787,0.9918032786885246
